Location_Code,Whole_House_Pct,Flat_Pct
E01013391,0.663013698630137,0.336986301369863
E01013397,0.8443759630200308,0.15562403697996918
E01013413,0.9043824701195219,0.09561752988047809
E01013417,0.6504961411245865,0.34950385887541346
E01013442,0.9348171701112877,0.06518282988871224
E01013443,0.6083333333333333,0.39166666666666666
E01013444,0.934453781512605,0.06554621848739496
E01013446,0.8711484593837535,0.12885154061624648
E01013447,0.7564102564102564,0.24358974358974358
E01013448,0.8456486042692939,0.15435139573070608
E01013360,0.9456681350954479,0.05433186490455213
E01013361,0.8341346153846154,0.1658653846153846
E01013362,0.6829268292682927,0.31585365853658537
E01013363,0.5016216216216216,0.4983783783783784
E01013364,0.5521472392638037,0.4447852760736196
E01013418,0.709049255441008,0.2898052691867125
E01013351,0.9821428571428571,0.012755102040816327
E01013352,0.9390862944162437,0.05964467005076142
E01013451,0.9918032786885246,0.00819672131147541
E01013452,0.9924012158054711,0.007598784194528876
E01013357,0.953125,0.046875
E01013358,0.8903133903133903,0.10968660968660969
E01013412,0.9016216216216216,0.09837837837837837
E01013414,0.8281053952321205,0.17189460476787954
E01013353,0.7757255936675461,0.22427440633245382
E01013354,0.9853658536585366,0.014634146341463415
E01013355,0.8768606224627875,0.12313937753721245
E01013356,0.9597014925373134,0.04029850746268657
E01013359,0.8735119047619048,0.12648809523809523
E01013449,0.9553072625698324,0.0446927374301676
E01013365,0.8341463414634146,0.16422764227642275
E01013378,0.775390625,0.224609375
E01013450,0.9584905660377359,0.03773584905660377
E01013340,0.9552238805970149,0.041044776119402986
E01013341,0.9984276729559748,0.0015723270440251573
E01013342,0.8038897893030794,0.04862236628849271
E01013423,0.9944237918215614,0.0018587360594795538
E01013424,0.9941860465116279,0.003875968992248062
E01013425,0.9971428571428571,0.0014285714285714286
E01027558,0.9584199584199584,0.04054054054054054
E01027559,0.9188235294117647,0.0811764705882353
E01027569,0.978978978978979,0.021021021021021023
E01027570,0.9019607843137255,0.07450980392156863
E01027562,0.8900255754475703,0.08439897698209718
E01027567,0.8387096774193549,0.15053763440860216
E01027585,0.9108159392789373,0.028462998102466792
E01027568,0.9697256385998108,0.030274361400189215
E01027571,0.9612068965517241,0.036637931034482756
E01027572,0.8361486486486487,0.16300675675675674
E01027573,0.8843626806833115,0.09986859395532194
E01027557,0.9577278731836195,0.034346103038309116
E01027561,0.9078801331853497,0.08102108768035517
E01027576,0.8507890961262554,0.03012912482065997
E01027574,0.9550224887556222,0.044977511244377814
E01027575,0.9407821229050279,0.05921787709497207
E01027577,0.837,0.16
E01027579,0.8542805100182149,0.14571948998178508
E01027578,0.9370179948586118,0.06298200514138817
E01027580,0.8635477582846004,0.13255360623781676
E01027581,0.757085020242915,0.24129554655870444
E01027582,0.8414464534075105,0.15855354659248957
E01027556,0.9634641407307172,0.03382949932341001
E01027560,0.959203036053131,0.03795066413662239
E01027563,0.9015748031496063,0.09317585301837271
E01027586,0.8848223896663079,0.1108719052744887
E01027555,0.9356321839080459,0.06436781609195402
E01027564,0.8096828046744574,0.19031719532554256
E01027565,0.9676470588235294,0.03235294117647059
